headline,publication_date,contents,comments
"Bawumia announces conversion of SDA College of Education, others into university colleges","Politics of Saturday,  3 August 2024","Dr. Mahamudu Bawumia, Vice President of Ghana, has announced that SDA College of Education and other similar institutions will soon be upgraded to full-fledged university colleges.Speaking at the 14th congregation of SDA College of Education, represented by Eastern Regional Minister Seth Kwame Acheampong, Dr. Bawumia reiterated the commitment government to improving the quality of training of teachers.“As the President of our Republic Nana Akufo-Addo stated some time ago, this SDA College of Education will be numbered among the first few colleges that will be converted to full university colleges soon.”“I am told the people of New Juaben Traditional Area, especially the Asokore township, are dedicated to advancing this college into a full-fledged university college soon,” Dr. Bawumia’s speech read.The Ministry of Education’s 2018 initiative to convert all public Colleges of Education into degree-awarding institutions is a key reform strategy.According to the Ghana Tertiary Education Commission, the conversion process to a full-fledged university will involve a comprehensive assessment of each college’s faculty capacity, infrastructure, financial status, and regulatory compliance. The assessment results will be reviewed by the Minister for Education and then submitted to the Cabinet for approval.Meanwhile, the SDA College of Education will implement a new grading policy starting from the 2024/2025 academic year. This policy, announced by Principal Prof. Vincent Adzahlie-Mensah, will include evaluations of student conduct such as adherence to dress codes and behaviour during lectures and exams.“This decision aligns with national teaching standards and underscores the importance of ethical values and professional behaviour,” Prof. Adzahlie-Mensah said.He also appealed for the construction of modern assembly and lecture halls to support the college’s anticipated growth.",I spit    on   sick   dog   prophet      mohammed
Koku Anyidoho chides NDC for claiming credit for Akufo-Addo’s DRIP project,"Politics of Saturday,  3 August 2024","Former deputy General Secretary of theNational Democratic Congress(NDC),Koku Anyidoho, has lambasted the leadership of the NDC for seeking to take credit for President Nana Addo Dankwa Akufo-Addo’s recently launched District Road Improvement Programme (DRIP).His criticism comes after Ahmed Ibrahim, the Deputy Minority Whip who doubles as the NDC Member of Parliament for Banda, stated in an interview on Okay FM that the project was actually the brainchild of former President John Mahama in 2016.“This DRIP project was something that President Mahama launched in July 2016. President Mahama’s problem was that he dissolved the Ministry of Information and combined it with the Ministry of Communication. So, there were a lot of things that he did but were not communicated. He launched the projects in July 2016,” Ibrahim said.Koku Anyidoho, who did not agree with the MP, took to X on August 2, 2024, to vent his frustration with the NDC.In one of his X posts, he stated, “Desperation is NOT good ooo!!! Listen to how this JM puppet attempts to steal the DRIP Initiative for his boss but ends up indicting the policy of merging the Information & Communications Ministries.“This is a BIG indictment on JM that’s why he must have a DEBATE with DMB.”He added, “What is happening to my NDC? This is shocking!!! They are now saying that the DRIP Initiative was started by JM. In one breath, the NPP Govt is doing nothing; in another breath, all the NPP projects are JM’s projects. Soon, they will say JM created the world. Haba!”The programme is designed to empower the metropolitan, municipal, and district assemblies (MMDAs) with the resources and equipment necessary to rehabilitate and maintain roads within their respective jurisdictions.What is happening to my NDC? This is shocking!!! They are now saying that the DRIP Initiative was started by JM. In one breath, the NPP Govt is doing nothing; in another breath, all the NPP projects are JM’s projects. Soon, they will say JM created the world. Haba!pic.twitter.com/dulHkxq2oc— SamuelKoku Anyidoho🇬🇭 (@KokuAnyidoho)August 2, 2024Desperation is NOT good ooo!!! Listen to how this JM puppet attempts to steal the DRIP Initiative for his boss but ends up indicting the policy of merging the Information & Communications Ministries. This is a BIG indictment on JM that’s why he must have a DEBATE with DMB.pic.twitter.com/PKK2EO0ws1— SamuelKoku Anyidoho🇬🇭 (@KokuAnyidoho)August 2, 2024AM/EKWatch the latest episode of Everyday People on GhanaWeb TV below:",Koku killed his daughter for juju to become powerful in NDC but failed. His hatred and Jealousy for Mahama has rendered him the most irrelevant politician in Ghana. His only hope for popularity is Atta mills Grave.its sad
Mahama begins campaign tours in Upper East region,"Politics of Saturday,  3 August 2024","Former President and Flagbearer of theNational Democratic Congress(NDC),John Dramani Mahama, is set to begin the first phase of his 2024 election campaign tours in the Upper East Region.A statement, signed by Madam Joyce Bawah Mogtari, the Spokesperson of the Flagbearer, said the former President would tour the region from August 3 to 6, 2024, where he is expected to present his policies and visions to the electorate.The statement indicated that Mahama would be joined by the NDC’s party executives, stakeholders, and Members of Parliament, following the successful launch of his election campaign in Tamale last Saturday.The statement said this year’s campaign strategy would prioritize smaller events, community engagements, and targeted activities aimed at fostering personal connections and understanding the needs of the citizens.“John Mahama is committed to canvassing for support from the people of Ghana by leveraging his extensive experience as a leader and promoting the NDC’s development agenda as the best pathway towards building the Ghana we all want together,” it added.Through the statement, the party invited all citizens to follow the campaign through the media and the flagbearer’s social media pages, adding, “Your participation and support are vital as we embark on this journey together.”In a follow-up interview with the Ghana News Agency, Salifu Abdallah, the Upper East Region Communications Director of the NDC, said the former President would arrive in the region on Friday, August 2, 2024, and would tour all 15 constituencies.He said the NDC’s Flagbearer would begin his four-day tour of the region on Saturday, August 3, 2024, at the Bawku Central constituency with a courtesy call on Zug-Raan Asigri Abugrago Azoka II, the Paramount Chief of the Kusaug Traditional Area, chiefs, and queenmothers.The former President would later hold a rally to interact with the people in the area.On the same day, the former President would hold similar activities at the Pusiga, Tempane, and Garu constituencies to communicate his visions aimed at transforming the economy to the people.On Sunday, August 4, Mahama will pay courtesy calls on the chiefs and queenmothers and hold durbars at the Binduri, Zebilla, Nabdam, and Bolgatanga East constituencies.On Monday, August 5, the NDC’s Flagbearer would engage in similar activities, including community engagements at Bongo, Talensi, Chiana-Paga, and Navrongo Central constituencies. On Tuesday, August 6, he would start his tour at the Yagaba constituency in the North East Region and return to the Builsa South, Builsa North, and Bolgatanga Central constituencies in the Upper East Region, respectively.The Regional Communications Officer indicated that the NDC in the region was already working to secure a convincing victory in both presidential and parliamentary elections in the December polls.“In the last election, we lost the Binduri seat because of some internal issues which we have resolved. So, we are winning all the seats in the region, and the visit of our flagbearer is putting icing on the cake,” he added.He said amid the economic challenges the country was currently battling, it would take only the experience of Mr. Mahama to turn the fortunes around and urged Ghanaians to support the NDC’s agenda in the December elections.",God bless Mahama. We are behind you. Mahama  all the way. The gyimie Bawumia is using state resources  to campaign. NPP parliamentarians are following him about like dogs instead of doing their work in Parliament
Bawumia represents the future of Ghanaian youth – Charles Ndanbon,"Politics of Saturday,  3 August 2024","Charles Taleo Ndanbon, the New Patriotic Party (NPP) Parliamentary Candidate for the Nabdam Constituency, says his party’s flagbearer, Alhaji Dr. Mahamudu Bawumia, represents the future of Ghanaian youth.He attributed this to the fact that the vision of the current Vice President to employ digitisation, among other policies to industrialise the economy, would significantly transform the fortunes of the country and empower the youth through job creation.“The youth of this country do not have any excuse not to vote for Dr. Bawumia because his focus is to create jobs and opportunities for the youth of this country, and we must rally and support him to make his visions a reality,” he stressed.The NPP Parliamentary Candidate made this known when he, in the company of his other colleague candidates, accompanied Vice-President Dr. Bawumia to pay a courtesy call on the chiefs and people of Nabdam at Nangodi, as part of his regional tour of the Upper East Region.Ndanbon said as Vice President to President Nana Addo Dankwa Akufo-Addo for almost eight years, Dr. Bawumia had demonstrated beyond reasonable doubt that he could lead the country to progress when elected president.“We Northerners have had a President before in the person of former President John Dramani Mahama, but he did little to develop our regions, especially for the youth. But Dr. Bawumia as Vice President, all the records are there to see.“Among all the candidates who have declared their intentions, it is only Dr. Bawumia who has a clear plan on how to transform the country. So, we do not have to go back to the past that did not help us; we need to move forward, and Dr. Bawumia is the person who can lead us,” he added.The NPP flagbearer, throughout his tour of the region, promised to transform the economy and create opportunities for the youth when elected President in the December 7 polls and solicited votes from all the electorates.Dr. Bawumia stressed that he would prioritise agriculture with investment in modern technologies to make the sector attractive to the youth and boost the local economy.“Agriculture is going to be my number one priority. We will make sure that we have all the different pillars in place for farmers.“I want to bring in the best practices from countries like Brazil and China that have higher productivity in crops such as maize and rice.“We also want to learn from them to adopt some of those technologies that are giving them two to three times the yields per acre that we are doing,” he said.Dr. Bawumia further promised to establish a nursing training college in the Builsa North Municipality and convert the Yameriga E-Block in the Talensi District into a teacher training college.","He only represents the future of failed economists, he represents the future of economists who were given economies to handle , but failed woefully at it, having 56% inflation and 16 cedis to a dollar, that's what he actually represents, because that's who he and what he is."
I regret I couldn’t bring NDC back to office – Ofosu Ampofo,"Politics of Saturday,  3 August 2024","Former Chairman of theNational Democratic Congress(NDC), Dr. Samuel Ofosu Ampofo, has revealed that one of his greatest regrets is failing to secure a return to government for the NDC during his tenure as chairman.In an interview on Starr Chat with Bola Ray, Dr. Ampofo stressed that the outcome would have been different if police brutality, killings, and the undermining of a free and fair electoral environment in those constituencies had not occurred.The NDC would have won a parliamentary majority, which would have decisively tipped the scales in their favor.“I am saying that in the absence of police brutalities and the killing of people, and ensuring that the environment for free, fair, and transparent elections did not happen in those constituencies, we would have won the parliamentary majority. And that would have turned the scale in our favor.“The results that were achieved, both at the presidential and parliamentary levels. You know, in the history of this country, it’s the first time that a party within four years has been able to improve their total vote by over two million. Yes, under my leadership. We were able to improve our vote from 4.2 to about 6.3 million in four years,” he remarked.Dr. Ampofo went on to explain that he does not know which of the results in 2020 can be said to be the final results.“There was a lot of back-and-forth, with changes being made multiple times, and all we wanted was for the woman to finally stand trial, to come and explain the reasons to the Supreme Court,” the former National Chairman of the NDC stated.Dr. Ampofo emphasized that if the NDC had not collated their results, they would not have been able to win in several constituencies that they lost initially.He went on to explain that there was a challenge with the tabulation of the results and the outcome of the final results by the Electoral Commission, adding that the NDC went to court to seek legal redress due to their dissatisfaction with the election results.",You can't because NDC have no ideas
"NDC couldn’t stand National Security, military brutality in 2020 election – Ofosu Ampofo","Politics of Saturday,  3 August 2024","The former National Chairman of theNational Democratic Congress(NDC), Dr. Samuel Ofosu Ampofo, has revealed that his party was unable to match the brutality of the military and National Security forces deployed by the government during the 2020 elections.Speaking on Starr Chat with Bola Ray, Dr. Ampofo stated that the brutalities were widespread across the country, making it impossible for the NDC to withstand.“It was about brutality. I mean, when people are being shot with live bullets and dying, you have to run away. I mean, I was not there, but people died. People died in Techiman. You know, people died in Abrekuma. People died in Odododiodio and several others,” Dr. Ampofo said, highlighting the severity of the situation.Dr. Ampofo emphasized that the NDC challenged the results in several constituencies, including Techiman South, Tarkwa Nsuaem, and Essikado-Ketan, but the courts did not rule in their favor.“In the absence of police brutalities and the killing of people, and ensuring that the environment for free, fair, and transparent elections in those constituencies, we would have won the parliamentary majority. And that would have turned the scale in our favor,” Dr. Ampofo said.He concluded by stating that one of his regrets is that he couldn’t take the party back into government, citing the brutalities and challenges faced during the elections.",But you drank tea and biscuit
Central Region: NDC reinstates Prof Asiedu as regional chairman,"Politics of Friday,  2 August 2024","The Disciplinary Committee of the main opposition party, theNational Democratic Congress(NDC), has recommended the reinstatement of Prof. Richard Kofi Asiedu as the Central Regional Chairman.Prof. Asiedu was previously suspended due to the withdrawal of Nurein Shiabu Migyimah from his position as the party’s Assin Central parliamentary candidate, following allegations of immoral acts and some anti-party activities.After Prof. Asiedu admitted his guilt and anti-party behavior, the committee suggested his reinstatement to the Functional Executives Committee (FEC).During its meeting on August 1, 2024, the FEC deliberated extensively on the committee's report.In accordance with Article 48(9)(f) of the party’s Constitution, the FEC decided to reinstate Prof. Asiedu to his position as Regional Chairman for the Central Region with immediate effect.This decision was announced in a statement signed by the General Secretary, Fifi Kwetey, dated August 2, 2024.","Why are we so obsessed with prof this, prof that?These book long people do not know how to create jobs. They are not risk takers. Let them stay in academia where they truly belong."
Ofoe Teye on why Mahama is avoiding debate with Bawumia,"Politics of Friday,  2 August 2024","The Tema East constituency Chairman of the governingNew Patriotic Party(NPP), Nene Ofoe Teye-Chu Agbadiagba lV and a manager at the Ghana Ports and Harbours Authority, has added his voice to the chorus of voices which are dismissing former PresidentJohn Dramani Mahama’s refusal to debate Vice President Mahamudu Bawumia in a presidential debate.In an interview with journalists in Ada on Wednesday, Nene Agbadiagba said the former President is only running away from what he knows will be utter humiliation if he dares debates the brilliant Dr. Bawumia.“Mahama is just running away from Bawumia,” he said as a matter of fact, adding that Mahama’s refusal to debate Bawumia is understandable.“He knows that if he dares debate Bawumia, Bawumia’s superior competence will show and lies that the NDC and Mr. John Mahama have been spewing about the Akufo-Addo government will be exposed.”Nene’s statement comes in the wake of former President John Mahama publicly turning down an opportunity to debate Vice President Mahamudu Bawumia to the disappointment of many.According to Mr. John Mahama, Bawumia himself has said that he is a driver’s mate, and so he should take his time to graduate from apprenticeship before he thinks of debating him.But according to Nene Ofoe Teye-Chu Agbadiagba lV, Mr. John Mahama’s excuse is the flimsiest excuse that anybody can ever give.“You have a presidential candidate of the ruling party who is also the current Vice President of the republic, inviting you the opposition leader who has been making all sorts of allegations against him, to meet him so that your allegations can be answered to, face to face, and you say he should go and graduate from apprenticeship. What sort of joke is that?”Nene pointed out that Mr. John Mahama’s behaviour, “shows that all the allegations that he had been making against government are bogus and unprovable.”He called on Ghanaians to, “take note of Mahama’s fear and disregard him appropriately anytime he makes any allegations in future.”Meanwhile, former deputy General Secretary of the NDC, Koku Anyidoho, has vowed to organize a demonstration against John Mahama if he does not take up the offer from Vice President Bawumia to debate him.",We help secure your perimeter with modern ELECTRIC FENCE SYSTEMS that supports alarm system and backup battery system. We sell and install ELECTRIC FENCE SYSTEMS & CCTV CAMERAS. Call/WhatsApp: 0501796870 for more info. DE FER
Approach the candidacy and questionable return of John Mahama with caution - Youth activist to Ghanaians,"Politics of Friday,  2 August 2024","Godfred Osei Bimpong, a youth activist, has said that Ghanaians need to be cautious with the return of the former president,John Dramani Mahama.In his write-up copied to GhanaWeb, Mr. Osei expressed concern over Mahama's quest to return to the presidency and the 24-hour economy policy he has proposed.Describing his return as questionable, Mr. Bimpong also wonders why the former president and his team cannot explain the 24-hour economy policy to the better understanding of Ghanaians, despite its appealing name.He has therefore advised the Ghanaian electorate to choose leaders with real solutions at the expense of making choices that do not promise a better future.""The NDC, under Mahama's leadership, has proposed a 24-hour economy policy aimed at revitalizing Ghana's economic landscape. Despite its appealing name, the policy remains shrouded in mystery and lacks clear, actionable details. Mahama and his team have struggled to articulate how this policy will function, what specific changes it will bring, and how it will be implemented to benefit the average Ghanaian,"" he said.Read his full statement:John Mahama's Questionable Return and the Unexplained 24-Hour Economy Policy: Why Ghanaians should choose leadership with real solutions:John Dramani Mahama, a seasoned politician in Ghana, has previously served as both Vice President and President. As the flagbearer of theNational Democratic Congress(NDC), he is once again vying for the highest office in the land. However, Ghanaians should approach his candidacy with caution, particularly because of the ambiguities surrounding his party's much-touted 24-hour economy policy.The Elusive 24-Hour Economy Policy:The NDC, under Mahama's leadership, has proposed a 24-hour economy policy aimed at revitalizing Ghana's economic landscape. Despite its appealing name, the policy remains shrouded in mystery and lacks clear, actionable details. Mahama and his team have struggled to articulate how this policy will function, what specific changes it will bring, and how it will be implemented to benefit the average Ghanaian.This vagueness raises serious concerns about the feasibility and effectiveness of the policy.Mahama's Track Record: A Precursor to Future Failures:During his previous tenure as President, Mahama faced significant criticism for his handling of the economy. Issues such as corruption, mismanagement, and a lack of transparency plagued his administration. The question arises: what has changed since then? Mahama's return to power could spell disaster for Ghana, repeating past mistakes and further entrenching the nation in economic turmoil.Lack of Solutions to Current Economic Crises:One of the most glaring shortcomings of Mahama's campaign is his failure to offer concrete solutions to the pressing economic challenges facing Ghana today. While he is quick to criticize the current administration, he has not presented a viable plan to address inflation, unemployment, or other related crises the NDC has been preaching. His rhetoric lacks substance, leaving Ghanaians to wonder if he has any real strategies to improve their livelihoods.The Better Alternative:Dr. Mahamudu Bawumiaand Dr. Matthew Opoku Prempeh:In stark contrast,Dr. Mahamudu Bawumiaand Dr. Matthew Opoku Prempeh represent a beacon of hope for Ghana. Both leaders have demonstrated a commitment to practical, innovative solutions to the country's economic woes. Dr. Bawumia, with his extensive background in economics, has consistently provided well-researched and actionable plans to stabilize and grow the economy. His focus on digitization and financial inclusion has already begun transforming sectors and improving efficiency.Dr. Matthew Opoku Prempeh, with his expertise in education and public administration, complements Bawumia's economic vision. Together, they offer a balanced, forward-thinking approach to governance that prioritizes sustainable development, job creation, and improved public services.Choose Progress Over Regression:As Ghanaians head to the polls, it is crucial to remember the lessons of the past and the promises of the future. John Mahama's inability to explain his 24-hour economy policy and his lack of solutions for current economic problems make his candidacy a risky gamble. On the other hand,Dr. Mahamudu Bawumiaand Dr. Matthew Opoku Prempeh present a clear, solution-oriented path forward.Ghana deserves leadership that is not only visionary but also capable of executing plans that bring tangible benefits. Voting for Dr. Bawumia and Dr. Matthew Opoku Prempeh Napo is a vote for progress, stability, and a brighter future for all Ghanaians.",We help secure your perimeter with modern ELECTRIC FENCE SYSTEMS that supports alarm system and backup battery system. We sell and install ELECTRIC FENCE SYSTEMS & CCTV CAMERAS. Call/WhatsApp: 0501796870 for more info. VCGHHY
We will stand with our parliamentary candidate despite court issues – Twifo Atti-Morkwa NPP,"Politics of Friday,  2 August 2024","TheNew Patriotic Party(NPP) in Twifo Atti-Morkwa, in the Central Region, has expressed its commitment to support its parliamentary candidate, Ebenezer Dwamena, after he was remanded into police custody.On Wednesday, July 31, Mr. Dwamena and two other individuals were remanded for allegedly failing to deliver a vehicle after receiving payment from a Twifo Praso businessman.False pretenses and conspiracy to defraud are the charges brought against the three.Twifo Atti-Morkwa's NPP communications officer, Charles Amoah, has stated that the party will offer the candidate's legal representation.“Since the case is now in court, we are leaving it to the legal people to intervene in whatever processes will be done. Her Lordship gave us two weeks and so we are now waiting and whatever can be done will be done early,” the Communications Officer said, as reported by citinewsroom.com.Charles Amoah explained that following Dwamena's successful purchase of a car from the dealer, he brought some acquaintances to the dealer.The car dealer, after receiving the money in his account, failed to produce the vehicle, leading the buyers to take the matter to court, resulting in the parliamentary candidate being remanded.Her Ladyship Sophia Priscila Yeboah, the presiding judge, remanded the suspect into police custody and sent the case to the Attorney General's Office for advice.KA/OGBWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.",We help secure your perimeter with modern ELECTRIC FENCE SYSTEMS that supports alarm system and backup battery system. We sell and install ELECTRIC FENCE SYSTEMS & CCTV CAMERAS. Call/WhatsApp: 0501796870 for more info. ttttttttttt
Bawumia is a transformational leader ready to transform Ghana – Owusu-Bempah,"Politics of Friday,  2 August 2024","Ernest Kofi Owusu-Bempah, the Deputy Director of Communications for theNew Patriotic Party(NPP), has praised Vice PresidentDr. Mahamudu Bawumiaas a transformative leader.Owusu-Bempah emphasized that Dr. Bawumia's vision and focus are essential for the country's progress, setting him apart from theNational Democratic Congress(NDC) flagbearer, former President John Dramani Mahama.In an interview with journalists in Accra on August 1, Mr Owusu-Bempah stated, “Bawumia is a transformational leader.”He elaborated that Dr. Bawumia's actions and policies reflect a commitment to national development, offering a promising future for Ghana.Owusu-Bempah also responded to criticisms from the NDC, which has labelled Dr. Bawumia a liar.He challenged the NDC to specify any instance where Dr. Bawumia's statements about the economy have proven false.“What has Bawumia said that shows he is a liar?""What the NDC is doing is goblin propaganda—telling a lie repeatedly until it is believed to be true,” Owusu-Bempah argued.He urged the NDC to substantiate their claims by identifying any promises Dr. Bawumia has failed to fulfil.","I THINK THAT SOMETIMES PEOPLE DELIGHT IN USING FLATTERY WORDS TO PROMOTE THEMSELVES. WHAT IS SO TRANFORMATIONAL ABOUT BAWUMIA? WHAT REALLY HAS HE DONE BESIDES LIES UPON LIES. THIS BAWUMIA WAS TOOTED AS AN ECONOMIC WIZKID. IS THIS HOW A SMART PERSON PERFORMS? GO AND READ ABOUT MAHATHIR MUHAMMED OF MALASIA, ALSO AN ECONOMIST, AND WHAT HE DID WITH HIS COUNTRY. SUCH MEDIOCRITY HAS GONE ON FAR TOO LONG!"
"Only EC has authority to declare election results, not media – Kan Dapaah cautions","Politics of Friday,  2 August 2024","The Minister of National Security,Albert Kan-Dapaah, has cautioned media houses against prematurely announcing election results as it could lead to confusion and violence.Speaking at the inaugural Ghana Report Summit held in Accra on August 1, 2024, he stated that while media houses and political parties have developed mechanisms to collate results, it is the responsibility of the Electoral Commission to announce the outcome of elections.“We must not sacrifice our peace on the altar of misinformation and disinformation. As we go into the 2024 elections, the declaration of the results will be a critical juncture for misinformation,” the minister stressed.While acknowledging that some political parties and media outlets have developed mechanisms to collect election results, he emphasized that these results should not be announced prematurely to avoid confusion.“Remember it is the sole constitutional mandate of the Electoral Commission and we must respect this to maintain the integrity of the electoral process”, he noted.He urged journalists to adhere to the highest ethical standards, emphasizing the importance of fact-checking and providing balanced reportage.“The media bears a significant responsibility to educate the public and uphold the highest standards, emphasizing fact checking, balanced and objective analysis totally devoid of regime-changing agendas,” Kan-Dapaah said.He also highlighted the role of every citizen in safeguarding democracy, emphasizing the need to avoid misinformation and disinformation to protect peace in the country.JKB/MAWatch the video below:",We should wait for five times with changing figures declarations.
Ghana is better off in the hands of the NPP than the NDC - Salam Mustapha,"Politics of Friday,  2 August 2024","The National Youth Organizer of the New Patriotic Party (NPP), Salam Mustapha, has asserted that Ghana is better off under the leadership of the NPP compared to the National Democratic Congress (NDC).Speaking on Peace FM on Thursday, August 1, 2024, Mustapha stated that the NPP's flagbearer,Dr. Mahamudu Bawumia, will build on the legacy of President Nana Addo Dankwah Akufo-Addo and even surpass it.“Dr. Bawumia will do more than what Akufo-Addo has done to ensure the legacy of the NPP is well cemented. Ghana is better off in the hands of the NPP than the NDC any day. Although we are grappling with economic challenges, Ghana is better off.""Sometimes, we are made to believe Ghana is the only country experiencing economic crises, but that is not true. Every country is struggling to cope with the current economic crisis. Given this, the performance of this government cannot be overlooked. When I listen to some journalists who say that this government has failed, I marvel,” he said.Mustapha emphasized that the Akufo-Addo administration has outperformed the John Mahama-led government in terms of road infrastructure and the health sector.He appealed to Ghanaians to support Dr. Bawumia’s presidential bid to enable him to continue the good work.“This government has performed creditably. Today, the NDC wants to portrayJohn Dramani Mahamaas a sage. Let us not sell our colour TV for black and white. Let's not take a step forward and two steps backwards. I believe that the one or two mistakes that this government has made, we can correct and get it working better for the Ghanaian people,” he noted.JKB/OGBWatch the latest episode of Everyday People on GhanaWeb TV below:",We help secure your perimeter with modern ELECTRIC FENCE SYSTEMS that supports alarm system and backup battery system. We sell and install ELECTRIC FENCE SYSTEMS & CCTV CAMERAS. Call/WhatsApp: 0501796870 for more info. FGHRYRTY
We’ve improved party system; ready for December 7 polls - Omane Boamah,"Politics of Friday,  2 August 2024","The National Democratic Congress (NDC) is gearing up for the upcoming elections, according to Dr. Omane Boamah, the party’s Director of IT and Elections.Dr. Boamah highlighted the enhancements made to the party’s systems and the proactive steps taken to prepare for the December 7, 2024, elections.“The most important thing is we are looking forward to the elections, and our systems are improved,” Dr. Boamah affirmed.He detailed the rigorous training and examination process for NDC election directors and polling agents, noting, “Every NDC election director in every district has written an exam, and we have trained 1,721 people to train 110,058 polling agents that the party has selected so far.""Each of them will write exams, and there will also be thorough background checks for each of them.”Dr. Boamah also addressed the issue of accountability at polling stations, emphasizing that political parties should not be held solely responsible for any irregularities while the Electoral Commission remains unaccountable.“The mindset that the EC can connive in favour of someone, so it is the duty of the political party to ensure that it doesn’t happen.""It is their job. However, I want to believe that one day, these things about polling agents will end, maybe not now, but 20 to 30 years from now, we may move away from it and get to electronic voting,” he said.Dr. Boamah further reiterated the NDC’s focus on ensuring a successful election process. “I’m now focused on going forward, particularly for the December 7, 2024, elections.""That is why we are carefully strategizing our efforts,” he stressed.He gave this assurance during an interview on Accra-based Adom FM.",We help secure your perimeter with modern ELECTRIC FENCE SYSTEMS that supports alarm system and backup battery system. We sell and install ELECTRIC FENCE SYSTEMS & CCTV CAMERAS. Call/WhatsApp: 0501796870 for more info. HTYFHT
December Polls: Ghanaians will elect Bawumia so Ghana doesn't go back to the dark days - Miracles Aboagye,"Politics of Friday,  2 August 2024","The Communications Director of the Bawumia for President 2024, Dennis Miracles Aboagye has intimated thatDr. Mahamudu Bawumia's election campaign has gained significant momentum with widespread grassroots support across the country.According to him, citizens from all walks of life are fervently advocating for his candidacy, driven by a collective effort to ensure that the country does not revert to what they describe as the ""dark days"" under the National Democratic Congress and former President John Mahama.Mr Aboagye made this remark in a Facebook post dated August 2, 2024He explained that in all the towns and villages, at family gatherings, market squares, church meetings, and public spaces, an army of advocates is working tirelessly to bolster Dr. Bawumia’s campaign.‘This groundswell of support is characterized by a passionate commitment to his vision for the country, described by many as ""tight like skin tight"" he said.He noted that as Dr. Bawumia's grassroots network strengthens, his supporters criticize the opposition for their focus on media campaigns and accuse them of producing ""fake books"" rather than engaging in serious political discourse.He argues that the former president has no new solutions to offer and that his leadership was marked by incompetence.Mr. Aboagye emphasized the importance of mobilizing, advocating, and voting against John Mahama. ""Get involved and get onboard.""Mobilize, advocate, and vote against the former President John Mahama; he has nothing more to offer,"" he urged.",We help secure your perimeter with modern ELECTRIC FENCE SYSTEMS that supports alarm system and backup battery system. We sell and install ELECTRIC FENCE SYSTEMS & CCTV CAMERAS. Call/WhatsApp: 0501796870 for more info. VFGHTY
Presidential Filing Fee: EC selling Ghana's electoral process to the highest bidder - Hassan Ayariga,"Politics of Friday,  2 August 2024","Flagbearer of the All People's Congress (APC)Hassan Ayarigahas criticized theElectoral Commission(EC)for setting the filing fee for presidential candidates for the 2024 elections at GH¢100,000.The EC has announced the nomination fees for the 2024 presidential and parliamentary elections.In a statement, the Commission indicated that male presidential candidates will be required to pay a nomination fee of GH¢100,000 while female candidates and persons with disabilities will pay GH¢75,000.“Candidates vying for the position of President will be required to make a payment of One Hundred Thousand Ghana Cedis (GH¢100,000.00) at the time of submitting their Nomination Forms. Payment shall be by Banker’s draft and addressed to the Chairperson of theElectoral Commission. Female Candidates and Persons with Disabilities are required to pay Seventy-Five Thousand Ghana Cedis (GH¢75,000),” part of the statement read.But commenting on the filing for presidential aspirants in an interview with Kasapa FM,Hassan Ayarigastated that the amount is too much considering the hard times Ghanaians find themselves.""What I am saying is that the economy is hard in Ghana nowadays and it is not easy to come by GH¢10,000 not to talk of GH¢100,000. In the last election, when the EC declared that all Presidential candidates should pay GH¢100,000, I was strongly against it and I said that the economy of Ghana is so bad and that the salary of a Ghanaian citizen is less than GH¢10,000. That of a minister of state is less than GH¢15,000. So when you say ministers of state or candidates of any political party should pay GH¢100,000, it is outrageous because the economy of Ghana is tough now. How much is a Ghanaian earning compared to what the EC is asking for? What EC is trying to tell us is that Ghana is for the highest bidder.""They are selling our electoral process to the highest bidder and they are telling us that they are looking for people with more money than more brains, more money than leadership, more money than competence. A high public earner like a minister of state takes home GH¢15,000.""When will a minister of state who is competent but not corrupt, a patriotic citizen of Ghana save GH¢100,000 for just a filing fee? The bigger parties - the NDC and NPP are fine with it because they have been in power and embezzled funds and used government machinery to go around and campaign and so for them they don't care if you fix the filing fee at GH¢1 million. Parliament must come out and tell the EC to justify the filing fee,""Hassan Ayarigastated.According to the Commission, nomination forms for the elections will be available on their website from Friday, 2nd August 2024.Candidates will have from Monday, September 9 to Friday, September 13, 2024, to submit their nomination forms.Parliamentary candidates will be required to submit their forms in quadruplicate to the Returning Officer of the Constituency they seek to represent.The Commission also disclosed that the filing fee for parliamentary candidates is fifty thousand Ghana Cedis (GH¢50,000.00) for males and thirty-seven thousand five hundred Ghana Cedis (GH¢37,500.00) for females and Persons with Disabilities.KA/OGBWatch the latest episode of Everyday People on GhanaWeb TV below:Ghana’s leading digital news platform, GhanaWeb, in conjunction with the Korle-Bu Teaching Hospital, is embarking on an aggressive campaign which is geared towards ensuring that parliament passes comprehensive legislation to guide organ harvesting, organ donation, and organ transplantation in the country.",You are not serious sir !
